"","peak_number","subnominal_mz","nominal_mz","intensity"
"1",1,50.03646,50,3.46
"2",1,51.04831,51,11.13
"3",1,52.0549,52,6.61
"4",1,53.06468,53,49.07
"5",1,54.07069,54,39.31
"6",1,55.07842,55,436.1
"7",1,56.08449,56,44.63
"8",1,57.09043,57,38.85
"9",1,58.06957,58,13.11
"10",1,59.06885,59,3.34
"11",1,63.0527,63,1.24
"12",1,65.06774,65,15.9
"13",1,66.07368,66,11.33
"14",1,67.081,67,442.98
"15",1,68.08617,68,56.79
"16",1,69.09477,69,58.06
"17",1,70.10047,70,16.94
"18",1,71.08409,71,32.07
"19",1,72.08334,72,2.52
"20",1,75.09954,75,0.3
"21",1,77.06381,77,21.47
"22",1,78.06932,78,8.2
"23",1,79.07735,79,45.35
"24",1,80.08185,80,18.79
"25",1,81.09078,81,157.64
"26",1,82.09625,82,1000
"27",1,83.10274,83,540.72
"28",1,84.10699,84,44.41
"29",1,85.09992,85,14.55
"30",1,86.10577,86,1.87
"31",1,91.0704,91,10.42
"32",1,92.06911,92,2.05
"33",1,93.082,93,7.21
"34",1,94.08486,94,2.68
"35",1,95.09685,95,49.36
"36",1,96.09928,96,17.81
"37",1,97.0953,97,17.03
"38",1,98.0907,98,5.97
"39",1,99.09423,99,5.48
"40",1,100.09597,100,13.96
"41",1,101.08937,101,1.68
"42",1,104.07011,104,0.77
"43",1,105.07085,105,3
"44",1,107.0904,107,2.67
"45",1,108.08962,108,1.92
"46",1,109.10522,109,58.73
"47",1,110.11168,110,28.13
"48",1,111.11102,111,2.88
"49",1,113.09641,113,2.37
"50",1,119.03364,119,0.31
"51",1,121.11027,121,0.98
"52",1,123.11605,123,15.6
"53",1,124.12386,124,6.21
"54",1,125.10702,125,1.16
"55",1,127.09149,127,0.47
"56",1,137.12261,137,1.11
"57",1,142.10489,142,0.76
"58",1,149.15002,149,0.42
"59",1,151.14388,151,4.3
"60",1,164.15294,164,0.98
"61",1,165.15735,165,0.52
"62",1,166.15955,166,1.46
"63",2,50.03278,50,1.53
"64",2,53.06591,53,19.56
"65",2,54.07015,54,6.8
"66",2,55.08069,55,176.3
"67",2,56.08716,56,128.57
"68",2,57.09446,57,1000
"69",2,58.09705,58,47.62
"70",2,63.06003,63,0.39
"71",2,65.07021,65,3.1
"72",2,66.0763,66,1.8
"73",2,67.08242,67,16.94
"74",2,68.0875,68,28.37
"75",2,69.0964,69,150.21
"76",2,70.10278,70,167.41
"77",2,71.11,71,892.81
"78",2,72.11234,72,50.65
"79",2,77.07513,77,3.2
"80",2,79.07666,79,4.09
"81",2,82.09742,82,8.96
"82",2,83.10377,83,74.07
"83",2,84.1112,84,113.1
"84",2,85.11767,85,545.54
"85",2,86.12002,86,36.69
"86",2,87.13404,87,0.67
"87",2,91.06946,91,3.2
"88",2,93.07952,93,0.8
"89",2,96.12488,96,0.43
"90",2,97.11022,97,8.91
"91",2,98.11612,98,14.4
"92",2,99.12488,99,111
"93",2,110.1078,110,1.55
"94",2,111.11986,111,21.94
"95",2,112.12709,112,33.46
"96",2,113.13455,113,102.82
"97",2,114.13165,114,5.46
"98",2,122.01383,122,0.31
"99",2,125.13213,125,4.72
"100",2,126.13947,126,28.94
"101",2,127.14677,127,87.22
"102",2,128.14752,128,5.44
"103",2,139.14201,139,0.79
"104",2,140.15447,140,2.22
"105",2,141.15701,141,6.67
"106",2,154.16972,154,2.66
"107",2,155.17801,155,40.41
"108",2,156.1728,156,2.22
"109",2,168.18949,168,0.98
"110",2,169.19314,169,13.13
"111",2,170.17911,170,1.06
"112",2,197.19051,197,1.23
"113",2,212.24972,212,1.79
"114",3,53.06504,53,16.48
"115",3,55.07997,55,197.13
"116",3,56.08529,56,111.65
"117",3,57.0947,57,1000
"118",3,58.09708,58,38.49
"119",3,68.08417,68,20.09
"120",3,69.16168,69,11.62
"121",3,70.10299,70,151.38
"122",3,71.11013,71,842.16
"123",3,72.11416,72,35.21
"124",3,83.16496,83,3.44
"125",3,84.11125,84,120.63
"126",3,85.11807,85,517.54
"127",3,86.12256,86,27.92
"128",3,98.11132,98,16.9
"129",3,99.12462,99,86.15
"130",3,112.12477,112,24.86
"131",3,113.13487,113,75.96
"132",3,114.13177,114,3.39
"133",3,126.13978,126,24.77
"134",3,127.14552,127,74.3
"135",3,128.12542,128,5.76
"136",3,140.15844,140,3.26
"137",3,141.16668,141,9.19
"138",3,155.17611,155,17.22
"139",3,169.17809,169,4.33
"140",3,212.24689,212,2.83
"141",4,51.05248,51,0.63
"142",4,52.04747,52,1.46
"143",4,53.06514,53,15.89
"144",4,54.07136,54,14.26
"145",4,55.08015,55,156
"146",4,56.08654,56,155.12
"147",4,57.0944,57,1000
"148",4,58.09978,58,38.57
"149",4,62.02477,62,0.57
"150",4,65.06937,65,1.95
"151",4,66.0591,66,0.39
"152",4,67.08306,67,10.84
"153",4,68.08803,68,12.72
"154",4,69.09666,69,84.21
"155",4,70.10271,70,127.52
"156",4,71.10986,71,579.64
"157",4,72.11243,72,32.47
"158",4,82.09501,82,6.41
"159",4,83.10473,83,38.32
"160",4,84.11186,84,75.06
"161",4,85.11751,85,337.33
"162",4,86.12056,86,20.07
"163",4,87.13336,87,0.37
"164",4,97.1095,97,12.72
"165",4,98.11736,98,36.98
"166",4,99.12492,99,66.5
"167",4,100.18957,100,0.3
"168",4,111.11893,111,7.01
"169",4,112.12725,112,31.46
"170",4,113.13422,113,46.03
"171",4,114.13723,114,2.2
"172",4,121.02512,121,0.67
"173",4,122.03518,122,1.37
"174",4,125.12879,125,1.31
"175",4,126.14049,126,18.99
"176",4,127.14854,127,37.83
"177",4,128.15692,128,1.6
"178",4,140.15483,140,5.39
"179",4,141.15967,141,16.67
"180",4,142.16242,142,0.9
"181",4,154.16089,154,2.84
"182",4,155.17928,155,10.56
"183",4,156.18448,156,0.46
"184",4,184.21721,184,26.24
"185",4,185.21561,185,1.73
"186",4,326.97018,327,3.17
"187",5,51.0479,51,15.95
"188",5,52.03998,52,4.54
"189",5,53.06478,53,81.32
"190",5,54.07344,54,54.05
"191",5,55.07864,55,804.45
"192",5,56.15569,56,2.61
"193",5,59.112,59,7.23
"194",5,61.04823,61,5.78
"195",5,65.06801,65,23.9
"196",5,66.07161,66,8.01
"197",5,67.08198,67,215.63
"198",5,68.08691,68,38.88
"199",5,69.09451,69,315.07
"200",5,71.07656,71,1000
"201",5,72.07902,72,58.7
"202",5,77.06075,77,28.86
"203",5,78.06289,78,18.68
"204",5,79.07711,79,56.28
"205",5,80.0791,80,22.65
"206",5,81.08953,81,169.29
"207",5,82.09554,82,269.76
"208",5,83.10242,83,535.23
"209",5,84.01109,84,1.31
"210",5,91.06849,91,22.56
"211",5,92.0729,92,11.53
"212",5,93.08248,93,17.13
"213",5,94.09294,94,2.84
"214",5,95.09555,95,67.45
"215",5,96.09344,96,24.05
"216",5,97.10552,97,240.46
"217",5,98.1044,98,34.21
"218",5,100.09599,100,839.5
"219",5,101.09887,101,74.02
"220",5,107.07734,107,7.19
"221",5,108.10219,108,2.09
"222",5,111.07881,111,3.59
"223",5,117.07224,117,3.45
"224",5,119.05373,119,5.8
"225",5,121.09405,121,6.91
"226",5,122.0975,122,3.32
"227",5,123.11092,123,11.82
"228",5,124.08649,124,2.02
