mz,intensity,percent,DistributionLabel,PeakNumber
NA,0,0,Br1,-9
NA,0,0,Br1,-8
NA,0,0,Br1,-7
NA,0,0,Br1,-6
NA,0,0,Br1,-5
NA,0,0,Br1,-4
NA,0,0,Br1,-3
NA,0,0,Br1,-2
NA,0,0,Br1,-1
NA,0,0,Br1,0
234,4480,100,Br1,1
235.01,599,13.37,Br1,2
236,4342,96.92,Br1,3
237.01,553,12.34,Br1,4
238.01,26,0.58,Br1,5
NA,0,0,Br1,6
NA,0,0,Br1,7
NA,0,0,Br1,8
NA,0,0,Br1,9
NA,0,0,Br1,10
NA,0,0,Br1,11
NA,0,0,Br1,12
NA,0,0,Br1,13
NA,0,0,Br1,14
NA,0,0,Br2,-9
NA,0,0,Br2,-8
NA,0,0,Br2,-7
NA,0,0,Br2,-6
NA,0,0,Br2,-5
NA,0,0,Br2,-4
NA,0,0,Br2,-3
NA,0,0,Br2,-2
311.91,2203,49.95,Br2,-1
312.92,319,7.23,Br2,0
313.91,4410,100,Br2,1
314.92,584,13.24,Br2,2
315.91,2196,49.8,Br2,3
316.91,270,6.12,Br2,4
317.92,18,0.41,Br2,5
NA,0,0,Br2,6
NA,0,0,Br2,7
NA,0,0,Br2,8
NA,0,0,Br2,9
NA,0,0,Br2,10
NA,0,0,Br2,11
NA,0,0,Br2,12
NA,0,0,Br2,13
NA,0,0,Br2,14
NA,0,0,Br3,-9
NA,0,0,Br3,-8
NA,0,0,Br3,-7
NA,0,0,Br3,-6
NA,0,0,Br3,-5
NA,0,0,Br3,-4
NA,0,0,Br3,-3
NA,0,0,Br3,-2
389.83,1155,34.68,Br3,-1
390.83,164,4.92,Br3,0
391.82,3330,100,Br3,1
392.83,425,12.76,Br3,2
393.82,3291,98.83,Br3,3
394.82,425,12.76,Br3,4
395.82,1067,32.04,Br3,5
396.82,133,3.99,Br3,6
397.83,9,0.27,Br3,7
398.83,1,0.03,Br3,8
NA,0,0,Br3,9
NA,0,0,Br3,10
NA,0,0,Br3,11
NA,0,0,Br3,12
NA,0,0,Br3,13
NA,0,0,Br3,14
NA,0,0,Br4,-9
NA,0,0,Br4,-8
NA,0,0,Br4,-7
NA,0,0,Br4,-6
NA,0,0,Br4,-5
NA,0,0,Br4,-4
467.74,615,18.59,Br4,-3
468.74,76,2.3,Br4,-2
469.73,2221,67.12,Br4,-1
470.74,292,8.82,Br4,0
471.73,3309,100,Br4,1
472.74,432,13.06,Br4,2
473.73,2219,67.06,Br4,3
474.73,306,9.25,Br4,4
475.73,465,14.05,Br4,5
476.73,62,1.87,Br4,6
477.73,3,0.09,Br4,7
NA,0,0,Br4,8
NA,0,0,Br4,9
NA,0,0,Br4,10
NA,0,0,Br4,11
NA,0,0,Br4,12
NA,0,0,Br4,13
NA,0,0,Br4,14
NA,0,0,Br5,-9
NA,0,0,Br5,-8
NA,0,0,Br5,-7
NA,0,0,Br5,-6
NA,0,0,Br5,-5
NA,0,0,Br5,-4
545.65,288,10.24,Br5,-3
546.65,32,1.14,Br5,-2
547.64,1422,50.55,Br5,-1
548.65,167,5.94,Br5,0
549.64,2813,100,Br5,1
550.65,357,12.69,Br5,2
551.64,2756,97.97,Br5,3
552.64,327,11.62,Br5,4
553.64,1353,48.1,Br5,5
554.64,187,6.65,Br5,6
555.64,260,9.24,Br5,7
556.64,34,1.21,Br5,8
557.64,4,0.14,Br5,9
NA,0,0,Br5,10
NA,0,0,Br5,11
NA,0,0,Br5,12
NA,0,0,Br5,13
NA,0,0,Br5,14
NA,0,0,Br6,-9
NA,0,0,Br6,-8
NA,0,0,Br6,-7
NA,0,0,Br6,-6
623.56,124,4.46,Br6,-5
624.56,23,0.83,Br6,-4
625.55,879,31.58,Br6,-3
626.56,122,4.38,Br6,-2
627.55,2150,77.25,Br6,-1
628.56,267,9.59,Br6,0
629.55,2783,100,Br6,1
630.55,359,12.9,Br6,2
631.55,1990,71.51,Br6,3
632.55,267,9.59,Br6,4
633.55,774,27.81,Br6,5
634.55,109,3.92,Br6,6
635.55,139,4.99,Br6,7
636.55,13,0.47,Br6,8
637.55,1,0.04,Br6,9
NA,0,0,Br6,10
NA,0,0,Br6,11
NA,0,0,Br6,12
NA,0,0,Br6,13
NA,0,0,Br6,14
NA,0,0,Br7,-9
NA,0,0,Br7,-8
701.47,66,2.68,Br7,-7
702.47,7,0.28,Br7,-6
703.47,491,19.92,Br7,-5
704.47,67,2.72,Br7,-4
705.46,1542,62.56,Br7,-3
706.47,171,6.94,Br7,-2
707.46,2421,98.22,Br7,-1
708.46,285,11.56,Br7,0
709.46,2465,100,Br7,1
710.46,261,10.59,Br7,2
711.46,1437,58.3,Br7,3
712.46,207,8.4,Br7,4
713.46,453,18.38,Br7,5
714.46,44,1.78,Br7,6
715.45,73,2.96,Br7,7
716.46,10,0.41,Br7,8
NA,0,0,Br7,9
NA,0,0,Br7,10
NA,0,0,Br7,11
NA,0,0,Br7,12
NA,0,0,Br7,13
NA,0,0,Br7,14
NA,0,0,Br8,-9
NA,0,0,Br8,-8
779.38,34,1.42,Br8,-7
780.38,4,0.17,Br8,-6
781.38,308,12.91,Br8,-5
782.38,29,1.22,Br8,-4
783.37,1023,42.88,Br8,-3
784.38,136,5.7,Br8,-2
785.37,2001,83.86,Br8,-1
786.38,233,9.77,Br8,0
787.37,2386,100,Br8,1
788.37,299,12.53,Br8,2
789.37,1859,77.91,Br8,3
790.37,254,10.65,Br8,4
791.37,958,40.15,Br8,5
792.37,145,6.08,Br8,6
793.36,255,10.69,Br8,7
794.37,37,1.55,Br8,8
795.36,35,1.47,Br8,9
796.36,4,0.17,Br8,10
NA,0,0,Br8,11
NA,0,0,Br8,12
NA,0,0,Br8,13
NA,0,0,Br8,14
NA,0,0,Br9,-9
NA,0,0,Br9,-8
857.29,18,0.82,Br9,-7
858.29,2,0.09,Br9,-6
859.29,190,8.66,Br9,-5
860.29,20,0.91,Br9,-4
861.28,648,29.55,Br9,-3
862.29,81,3.69,Br9,-2
863.28,1524,69.49,Br9,-1
864.29,197,8.98,Br9,0
865.28,2193,100,Br9,1
866.28,267,12.18,Br9,2
867.28,2152,98.13,Br9,3
868.28,264,12.04,Br9,4
869.28,1450,66.12,Br9,5
870.28,164,7.48,Br9,6
871.27,588,26.81,Br9,7
872.28,84,3.83,Br9,8
873.27,120,5.47,Br9,9
874.28,14,0.64,Br9,10
875.27,23,1.05,Br9,11
877.28,1,0.05,Br9,12
NA,0,0,Br9,13
NA,0,0,Br9,14
935.2,10,0.46,Br10,-9
936.2,2,0.09,Br10,-8
937.2,89,4.13,Br10,-7
938.2,15,0.7,Br10,-6
939.19,436,20.23,Br10,-5
940.2,57,2.65,Br10,-4
941.19,1115,51.74,Br10,-3
942.2,129,5.99,Br10,-2
943.19,1893,87.84,Br10,-1
944.19,234,10.86,Br10,0
