"theoretical_mz","theoretical_percent_intensity","distribution_name"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
234,100,"Br1"
235.01,13.37,"Br1"
236,96.92,"Br1"
237.01,12.34,"Br1"
238.01,0.58,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br1"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
311.91,49.95,"Br2"
312.92,7.23,"Br2"
313.91,100,"Br2"
314.92,13.24,"Br2"
315.91,49.8,"Br2"
316.91,6.12,"Br2"
317.92,0.41,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br2"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
389.83,34.68,"Br3"
390.83,4.92,"Br3"
391.82,100,"Br3"
392.83,12.76,"Br3"
393.82,98.83,"Br3"
394.82,12.76,"Br3"
395.82,32.04,"Br3"
396.82,3.99,"Br3"
397.83,0.27,"Br3"
398.83,0.03,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br3"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
467.74,18.59,"Br4"
468.74,2.3,"Br4"
469.73,67.12,"Br4"
470.74,8.82,"Br4"
471.73,100,"Br4"
472.74,13.06,"Br4"
473.73,67.06,"Br4"
474.73,9.25,"Br4"
475.73,14.05,"Br4"
476.73,1.87,"Br4"
477.73,0.09,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br4"
NA,0,"Br5"
NA,0,"Br5"
NA,0,"Br5"
NA,0,"Br5"
NA,0,"Br5"
NA,0,"Br5"
545.65,10.24,"Br5"
546.65,1.14,"Br5"
547.64,50.55,"Br5"
548.65,5.94,"Br5"
549.64,100,"Br5"
550.65,12.69,"Br5"
551.64,97.97,"Br5"
552.64,11.62,"Br5"
553.64,48.1,"Br5"
554.64,6.65,"Br5"
555.64,9.24,"Br5"
556.64,1.21,"Br5"
557.64,0.14,"Br5"
NA,0,"Br5"
